NODENAME;AVG.FREQ;DEF.FREQ;TIME;CPI;TPI;GBS;DC-NODE-POWER;DRAM-POWER;PCK-POWER;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SP_SINGLE;SP_128;SP_256;SP_512;DP_SINGLE;DP_128;DP_256;DP_512;FIRST_EVENT;LEVEL;SIZE;ITERATIONS
cmp2538;984000;2100000;1.001716;0.345607;0.047465;0.124979;152.252880;13.266982;111.538151;9787848964;28320734187;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;90
cmp2539;984000;2100000;1.001613;0.355608;0.050347;0.128862;153.515741;12.435894;114.425853;9788663217;27526588345;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;90
cmp2551;984000;2100000;1.001701;0.345025;0.048627;0.128303;151.602878;12.611182;112.902420;9791436385;28378955509;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;90
cmp2537;2088000;2100000;1.001304;0.346926;0.172647;0.959408;213.112680;11.797310;187.410170;20727468330;59746081738;0.000001;0;0;0;0;0;0;0;283;0;0;0;1;1;1;50
cmp2543;2088600;2100000;1.001181;0.349960;0.023559;0.129854;236.221704;13.199310;189.245632;20736385594;59253616444;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;100
cmp2544;2088000;2100000;1.001309;0.345370;0.026743;0.149283;202.674459;12.282243;180.402654;20727739336;60016122645;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;100
cmp2550;984000;2100000;1.001670;0.347649;0.054982;0.143861;149.763380;10.066131;110.197648;9783391067;28141551374;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;100
cmp2549;984000;2100000;1.001707;0.349421;0.049521;0.128955;143.276684;11.551866;103.995422;9786702400;28008368841;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;100
cmp2552;1096500;2100000;1.001591;0.345585;0.037706;0.099376;118.464076;10.311083;92.479141;9795138052;28343670645;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;100
cmp2540;984000;2100000;1.001754;0.345736;0.048736;0.128282;154.348926;11.392610;112.404987;9788649917;28312485895;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;100
cmp2538;984000;2100000;1.001516;0.345572;0.062442;0.125924;151.978731;13.297253;111.477799;7494318408;21686704912;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;100
cmp2539;984000;2100000;1.001713;0.355618;0.049931;0.127651;138.034302;12.449099;114.373947;9778742731;27497847987;0.000000;0;0;0;0;0;0;0;49;0;0;0;1;1;1;100
cmp2551;984000;2100000;1.001601;0.345108;0.049380;0.130267;151.320490;12.615053;112.922790;9791185230;28371355171;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;100
cmp2537;2088000;2100000;1.001304;0.347135;0.169359;0.940822;235.950174;11.815908;187.121800;20733070165;59726224136;0.000001;0;0;0;0;0;0;0;169;0;0;0;1;1;1;60
cmp2543;2088300;2100000;1.001183;0.350045;0.022819;0.125754;236.754367;13.227429;189.219105;20737581112;59242611006;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;110
cmp2544;2088300;2100000;1.001209;0.345382;0.022570;0.125994;226.233039;12.195937;180.422934;20727292561;60012744584;0.000000;0;0;0;0;0;0;0;43;0;0;0;1;1;1;110
cmp2550;984000;2100000;1.001670;0.347441;0.045780;0.119937;149.279074;10.059241;110.157312;9790030314;28177558571;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;110
cmp2549;984000;2100000;1.001707;0.349440;0.053858;0.140292;143.557904;11.547430;104.023682;9790340346;28017246776;0.000000;0;0;0;0;0;0;0;40;0;0;0;1;1;1;110
cmp2552;1095000;2100000;1.001691;0.346158;0.047311;0.124537;131.587733;10.327675;92.786457;9800425736;28311971585;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;110
cmp2540;984000;2100000;1.001754;0.347775;0.070756;0.185237;154.246221;11.390063;112.450895;9793189583;28159592352;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;110
cmp2538;984000;2100000;1.001716;0.345591;0.061824;0.127008;152.205661;13.275223;111.376800;7636224286;22096109188;0.000000;0;0;0;0;0;0;0;26;0;0;0;1;1;1;110
cmp2539;984000;2100000;1.001713;0.355761;0.050211;0.128464;154.043101;12.458598;114.407014;9789976135;27518418434;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;110
cmp2551;984000;2100000;1.001901;0.345581;0.054072;0.142346;152.107997;12.628927;112.953278;9786840129;28319978358;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;110
cmp2537;2088000;2100000;1.198805;0.346951;0.170474;0.947360;237.465726;11.814096;187.163236;24818449788;71533037973;0.000001;0;0;0;0;0;0;0;339;0;0;0;1;1;1;70
cmp2543;2088300;2100000;1.001283;0.350041;0.023026;0.126856;235.641719;13.253736;189.181092;20733572485;59231837434;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;120
cmp2544;2089200;2100000;1.001209;0.345319;0.022765;0.127088;225.279569;12.208750;180.492314;20724061894;60014338776;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;120
cmp2550;984000;2100000;1.001570;0.347423;0.047335;0.124045;134.969271;10.048137;110.143234;9791159793;28182269275;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;120
cmp2549;984000;2100000;1.001707;0.349399;0.050014;0.130322;143.321622;11.564067;104.046962;9792319200;28026209565;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;120
cmp2552;1097100;2100000;1.001591;0.345529;0.038932;0.102692;131.523693;10.310565;92.792723;9801739764;28367302289;0.000000;0;0;0;0;0;0;0;103;0;0;0;1;1;1;120
cmp2540;984000;2100000;1.001754;0.345595;0.049381;0.130039;154.383665;11.337389;112.384588;9789183940;28325572193;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;120
cmp2538;984000;2100000;1.001916;0.345706;0.059840;0.124956;136.042084;13.275944;111.337803;7766040681;22464322494;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;120
cmp2539;984000;2100000;1.001713;0.355522;0.048656;0.124474;153.425044;12.455504;114.342032;9782421222;27515650080;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;120
cmp2551;984000;2100000;1.001801;0.345652;0.052718;0.138884;136.134481;12.636211;112.948536;9795198630;28338320818;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;120
cmp2537;2088000;2100000;1.001404;0.346951;0.175701;0.976208;235.076705;11.851283;187.327854;20727455799;59741693303;0.000002;0;0;0;0;0;0;0;453;0;0;0;1;1;1;80
cmp2543;2088600;2100000;1.001283;0.350009;0.023479;0.129365;235.618549;13.284215;189.195270;20733106864;59235929451;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;130
cmp2544;2088000;2100000;1.001309;0.345645;0.031170;0.173839;226.042665;12.271667;180.472728;20725537558;59961877611;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;130
cmp2550;984000;2100000;1.001670;0.347388;0.048111;0.125996;149.161685;10.041815;110.181988;9784866099;28166978736;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;130
cmp2549;984000;2100000;1.001607;0.349284;0.050034;0.130356;143.265530;11.566185;104.099892;9786783888;28019520902;0.000000;0;0;0;0;0;0;0;53;0;0;0;1;1;1;130
cmp2552;1095900;2100000;1.001591;0.345578;0.039062;0.102979;131.216382;10.274811;92.756891;9797941198;28352331671;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;130
cmp2540;984000;2100000;1.001654;0.345963;0.055052;0.144909;138.760163;11.334208;112.370269;9794159396;28309839547;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;130
cmp2538;984000;2100000;1.001715;0.346145;0.054338;0.150504;151.880011;13.283263;111.320981;10312054649;29791161010;0.000000;0;0;0;0;0;0;0;91;0;0;0;1;1;1;130
cmp2539;984000;2100000;1.001813;0.355691;0.050678;0.129695;153.545384;12.450861;114.204949;9791823745;27529023903;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;130
cmp2551;984000;2100000;1.001701;0.345094;0.049936;0.131699;151.298711;12.725417;112.902711;9789239890;28366886292;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;130
cmp2537;2088000;2100000;1.659707;0.347915;0.190455;1.055565;227.608863;11.860720;187.363754;34363451477;98769555142;0.000002;0;0;0;0;0;0;0;679;0;0;0;1;1;1;90
cmp2543;2088600;2100000;1.001183;0.350045;0.024530;0.135158;213.164690;13.313141;189.281526;20734284243;59233125173;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;140
cmp2544;2088600;2100000;1.001209;0.345398;0.024692;0.137833;225.900441;12.217348;180.497953;20726911590;60008849758;0.000000;0;0;0;0;0;0;0;80;0;0;0;1;1;1;140
cmp2550;984000;2100000;1.001670;0.347458;0.049056;0.128463;149.645961;10.112090;110.262227;9786271841;28165329434;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;140
cmp2549;984000;2100000;1.001707;0.349337;0.052323;0.136332;128.921882;11.580056;104.145209;9790216838;28025167667;0.000001;0;0;0;0;0;0;0;136;0;0;0;1;1;1;140
cmp2552;1096800;2100000;1.001791;0.345526;0.039899;0.105185;131.947230;10.311309;92.930192;9798352534;28357754690;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;140
cmp2540;984000;2100000;1.001653;0.345861;0.053557;0.140885;153.245309;11.351931;112.388823;9785116478;28292084254;0.000000;0;0;0;0;0;0;0;116;0;0;0;1;1;1;140
cmp2538;984000;2100000;1.001714;0.345516;0.049916;0.137977;151.288516;13.316544;111.298888;10272554336;29731076405;0.000000;0;0;0;0;0;0;0;76;0;0;0;1;1;1;140
cmp2539;984000;2100000;1.001613;0.355678;0.064498;0.164905;153.576043;12.448011;114.133411;9780183287;27497283943;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;140
cmp2551;984000;2100000;1.001602;0.345374;0.052113;0.137445;151.445230;12.678414;112.892563;9796394931;28364565106;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;140
cmp2543;2088300;2100000;1.001183;0.350398;0.025868;0.142419;235.711671;13.360515;189.205159;20738269531;59184861700;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;150
cmp2544;2088300;2100000;1.001309;0.345373;0.022678;0.126610;225.944371;12.165401;180.521340;20730934439;60024811658;0.000000;0;0;0;0;0;0;0;80;0;0;0;1;1;1;150
cmp2550;984000;2100000;1.001569;0.347511;0.047024;0.123198;149.428587;10.088565;110.238558;9791173190;28175115403;0.000000;0;0;0;0;0;0;0;40;0;0;0;1;1;1;150
cmp2549;984000;2100000;1.001607;0.349493;0.047462;0.123646;143.800470;11.558924;104.167892;9792046600;28017840904;0.000000;0;0;0;0;0;0;0;40;0;0;0;1;1;1;150
cmp2552;1095600;2100000;1.001591;0.345463;0.038558;0.101734;118.393788;10.295851;93.007670;9802644411;28375377806;0.000000;0;0;0;0;0;0;0;93;0;0;0;1;1;1;150
cmp2540;984000;2100000;1.001753;0.345817;0.053747;0.141483;153.897187;11.366289;112.383493;9791679269;28314658184;0.000000;0;0;0;0;0;0;0;66;0;0;0;1;1;1;150
cmp2538;984000;2100000;1.001715;0.345560;0.044341;0.122303;151.571116;13.298317;111.266394;10251825978;29667271011;0.000000;0;0;0;0;0;0;0;62;0;0;0;1;1;1;150
cmp2539;984000;2100000;1.001613;0.355834;0.049706;0.127105;153.304650;12.487707;114.000137;9785969590;27501480465;0.000000;0;0;0;0;0;0;0;69;0;0;0;1;1;1;150
cmp2551;984000;2100000;1.001702;0.348102;0.067236;0.175706;151.400262;12.635578;112.924822;9784340941;28107696006;0.000000;0;0;0;0;0;0;0;39;0;0;0;1;1;1;150
cmp2537;2088000;2100000;1.516006;0.348192;0.170892;0.945844;233.931680;11.779271;187.279705;31370243412;90094652783;0.000001;0;0;0;0;0;0;0;566;0;0;0;1;1;1;100
cmp2543;2088300;2100000;1.001183;0.349934;0.022843;0.125902;236.022204;13.318603;189.281265;20734124044;59251516361;0.000000;0;0;0;0;0;0;0;106;0;0;0;1;1;1;160
cmp2544;2088000;2100000;1.001309;0.345436;0.026312;0.146883;202.899564;12.161942;180.495434;20732983246;60019685947;0.000000;0;0;0;0;0;0;0;106;0;0;0;1;1;1;160
cmp2550;984000;2100000;1.001769;0.348675;0.055173;0.143884;149.279025;10.125662;110.253527;9780882979;28051577125;0.000000;0;0;0;0;0;0;0;79;0;0;0;1;1;1;160
